,eigVal_lossDiff_applied,eigVec_lossDiff_applied,eigVal_lossless,eigVec_lossless,coupling_coeff.,loss_diff,Ecm,XC,Ecm-XC
43,[1.37255627+0.01103982j 1.37117076+0.00032616j],"[[ 0.98939214+0.j         -0.01785708+0.14416769j]
 [ 0.01785708-0.14416769j  0.98939214+0.j        ]]",[1.37361363+2.79703862e-05j 1.3701134 +6.21296138e-05j],"[[ 0.83039922+0.j        -0.55698436-0.0143374j]
 [ 0.55698436+0.0143374j  0.83039922+0.j       ]]",0.00162,-0.01127587830167224,1.3725270297647802,(1.3712+9.01e-05j),(0.0013270297647802742-9.01e-05j)
44,[1.37255459+0.01099516j 1.37117056+0.0003271j ],"[[ 0.98930738+0.j         -0.01797832+0.14473318j]
 [ 0.01797832-0.14473318j  0.98930738+0.j        ]]",[1.37361234+2.7991058e-05j 1.37011281+6.2108942e-05j],"[[ 0.83026106+0.j         -0.55719007-0.01434561j]
 [ 0.55719007+0.01434561j  0.83026106+0.j        ]]",0.00162,-0.011232166257525085,1.3725251544091335,(1.3712+9.01e-05j),(0.0013251544091335-9.01e-05j)
45,[1.37255288+0.0109505j  1.37117036+0.00032806j],"[[ 0.98922158+0.j         -0.01810042+0.14530326j]
 [ 0.01810042-0.14530326j  0.98922158+0.j        ]]",[1.37361102+2.80122051e-05j 1.37011222+6.20877949e-05j],"[[ 0.8301197 +0.j       -0.55740043-0.014354j]
 [ 0.55740043+0.014354j  0.8301197 +0.j      ]]",0.00162,-0.011188454213377927,1.3725232371209142,(1.3712+9.01e-05j),(0.0013232371209142002-9.01e-05j)
46,[1.37255112+0.01090582j 1.37117015+0.00032902j],"[[ 0.98913473+0.j       -0.0182234 +0.145878j]
 [ 0.0182234 -0.145878j  0.98913473+0.j      ]]",[1.37360967+2.80338265e-05j 1.37011161+6.20661735e-05j],"[[ 0.82997515+0.j         -0.55761543-0.01436258j]
 [ 0.55761543+0.01436258j  0.82997515+0.j        ]]",0.00162,-0.01114474216923077,1.3725212780636817,(1.3712+9.01e-05j),(0.0013212780636817634-9.01e-05j)
47,[1.37254933+0.01086114j 1.37116995+0.00032999j],"[[ 0.98904681+0.j         -0.01834728+0.14645745j]
 [ 0.01834728-0.14645745j  0.98904681+0.j        ]]",[1.37360829+2.80559212e-05j 1.37011099+6.20440788e-05j],"[[ 0.82982741+0.j         -0.55783505-0.01437134j]
 [ 0.55783505+0.01437134j  0.82982741+0.j        ]]",0.00162,-0.011101030125083611,1.3725192774010009,(1.3712+9.01e-05j),(0.0013192774010009067-9.01e-05j)
48,[1.37254749+0.01081645j 1.37116974+0.00033097j],"[[ 0.9889578 +0.j         -0.01847206+0.14704168j]
 [ 0.01847206-0.14704168j  0.9889578 +0.j        ]]",[1.37360688+2.80784884e-05j 1.37011035+6.20215116e-05j],"[[ 0.82967648+0.j         -0.55805927-0.01438028j]
 [ 0.55805927+0.01438028j  0.82967648+0.j        ]]",0.00162,-0.011057318080936455,1.3725172352964425,(1.3712+9.01e-05j),(0.0013172352964425649-9.01e-05j)
49,[1.37254562+0.01077175j 1.37116953+0.00033195j],"[[ 0.98886768+0.j         -0.01859776+0.14763074j]
 [ 0.01859776-0.14763074j  0.98886768+0.j        ]]",[1.37360545+2.81015271e-05j 1.3701097 +6.19984729e-05j],"[[ 0.82952237+0.j         -0.55828809-0.01438941j]
 [ 0.55828809+0.01438941j  0.82952237+0.j        ]]",0.00162,-0.011013606036789298,1.3725151519135832,(1.3712+9.01e-05j),(0.0013151519135832235-9.01e-05j)
50,[1.37254371+0.01072704j 1.37116932+0.00033295j],"[[ 0.98877644+0.j         -0.01872439+0.14822469j]
 [ 0.01872439-0.14822469j  0.98877644+0.j        ]]",[1.37360399+2.81250365e-05j 1.37010904+6.19749635e-05j],"[[ 0.82936508+0.j         -0.55852148-0.01439872j]
 [ 0.55852148+0.01439872j  0.82936508+0.j        ]]",0.00162,-0.01096989399264214,1.372513027416004,(1.3712+9.01e-05j),(0.0013130274160040312-9.01e-05j)
51,[1.37254175+0.01068233j 1.37116911+0.00033395j],"[[ 0.98868405+0.j        -0.01885196+0.1488236j]
 [ 0.01885196-0.1488236j  0.98868405+0.j       ]]",[1.3736025 +2.81490155e-05j 1.37010836+6.19509845e-05j],"[[ 0.82920462+0.j         -0.55875944-0.01440821j]
 [ 0.55875944+0.01440821j  0.82920462+0.j        ]]",0.00162,-0.010926181948494984,1.372510861967293,(1.3712+9.01e-05j),(0.00131086196729302-9.01e-05j)
52,[1.37253976+0.0106376j  1.3711689 +0.00033497j],"[[ 0.98859049+0.j         -0.0189805 +0.14942752j]
 [ 0.0189805 -0.14942752j  0.98859049+0.j        ]]",[1.37360098+2.81734635e-05j 1.37010767+6.19265365e-05j],"[[ 0.82904098+0.j         -0.55900194-0.01441787j]
 [ 0.55900194+0.01441787j  0.82904098+0.j        ]]",0.00162,-0.010882469904347826,1.3725086557310424,(1.3712+9.01e-05j),(0.0013086557310424407-9.01e-05j)
