,eigVal_lossDiff_applied,eigVec_lossDiff_applied,eigVal_lossless,eigVec_lossless,Coupling coeff.,Ecm,XC,Ecm-XC
48,[1.371-0.00256223j 1.371-0.00087377j],"[[8.71368818e-01+0.j         4.79616347e-14-0.49062856j]
 [0.00000000e+00+0.49062856j 8.71368818e-01+0.j        ]]",[1.372392-9.e-05j 1.369608-9.e-05j],"[[ 0.70710678+0.0000000e+00j  0.70710678+0.0000000e+00j]
 [ 0.70710678-0.0000000e+00j -0.70710678-6.8846838e-18j]]",0.001392,(1.371-9e-05j),(1.371-9e-05j),0j
49,[1.371-0.00255975j 1.371-0.00087625j],"[[ 8.70931965e-01+0.j         -2.08721929e-14-0.49140361j]
 [ 0.00000000e+00+0.49140361j  8.70931965e-01+0.j        ]]",[1.3723935-9.e-05j 1.3696065-9.e-05j],"[[ 0.70710678+0.00000000e+00j -0.70710678-6.87698877e-18j]
 [ 0.70710678-0.00000000e+00j  0.70710678+0.00000000e+00j]]",0.0013935,(1.371-9e-05j),(1.371-9e-05j),0j
50,[1.371-0.00255726j 1.371-0.00087874j],"[[ 8.70493129e-01+0.j          1.17711396e-13-0.49218057j]
 [-9.30027273e-14+0.49218057j  8.70493129e-01+0.j        ]]",[1.372395-9.e-05j 1.369605-9.e-05j],"[[ 0.70710678+0.0000000e+00j  0.70710678+0.0000000e+00j]
 [ 0.70710678-0.0000000e+00j -0.70710678+6.8846838e-18j]]",0.001395,(1.371-9e-05j),(1.371-9e-05j),0j
51,[1.371-0.00255476j 1.371-0.00088124j],"[[ 8.70052291e-01+0.j         -6.49896803e-14-0.49295944j]
 [ 0.00000000e+00+0.49295944j  8.70052291e-01+0.j        ]]",[1.3723965-9.e-05j 1.3696035-9.e-05j],"[[ 0.70710678+0.j -0.70710678+0.j]
 [ 0.70710678-0.j  0.70710678+0.j]]",0.0013965,(1.371-9e-05j),(1.371-9e-05j),0j
52,[1.371-0.00255225j 1.371-0.00088375j],"[[8.69609432e-01+0.j         1.19612653e-13-0.49374025j]
 [0.00000000e+00+0.49374025j 8.69609432e-01+0.j        ]]",[1.372398-9.e-05j 1.369602-9.e-05j],"[[ 0.70710678+0.00000000e+00j -0.70710678+6.85485254e-18j]
 [ 0.70710678-0.00000000e+00j  0.70710678+0.00000000e+00j]]",0.001398,(1.371-9e-05j),(1.371-9e-05j),0j
53,[1.371-0.00254974j 1.371-0.00088626j],"[[ 8.69164533e-01+0.j          2.64899214e-13-0.49452302j]
 [-1.41393574e-13+0.49452302j  8.69164533e-01+0.j        ]]",[1.3723995-9.e-05j 1.3696005-9.e-05j],"[[ 0.70710678-0.00000000e+00j -0.70710678-6.84750543e-18j]
 [ 0.70710678+0.00000000e+00j  0.70710678+0.00000000e+00j]]",0.0013995,(1.371-9e-05j),(1.371-9e-05j),0j
54,[1.371-0.00254721j 1.371-0.00088879j],"[[8.68717574e-01+0.j         6.59611255e-14-0.49530776j]
 [0.00000000e+00+0.49530776j 8.68717574e-01+0.j        ]]",[1.372401-9.e-05j 1.369599-9.e-05j],"[[ 0.70710678-0.00000000e+00j  0.70710678+0.00000000e+00j]
 [ 0.70710678+0.00000000e+00j -0.70710678-6.84402621e-18j]]",0.001401,(1.371-9e-05j),(1.371-9e-05j),0j
55,[1.371-0.00254467j 1.371-0.00089133j],"[[8.68268535e-01+0.j        6.78068712e-14-0.4960945j]
 [0.00000000e+00+0.4960945j 8.68268535e-01+0.j       ]]",[1.3724025-9.e-05j 1.3695975-9.e-05j],"[[ 0.70710678-0.j  0.70710678+0.j]
 [ 0.70710678+0.j -0.70710678+0.j]]",0.0014025,(1.371-9e-05j),(1.371-9e-05j),0j
56,[1.371-0.00254212j 1.371-0.00089388j],"[[8.67817396e-01+0.j         7.13318293e-15-0.49688325j]
 [0.00000000e+00+0.49688325j 8.67817396e-01+0.j        ]]",[1.372404-9.e-05j 1.369596-9.e-05j],"[[ 0.70710678-0.j -0.70710678-0.j]
 [ 0.70710678+0.j  0.70710678+0.j]]",0.001404,(1.371-9e-05j),(1.371-9e-05j),0j
57,[1.371-0.00253956j 1.371-0.00089644j],"[[ 8.67364135e-01+0.j         -5.83699755e-14-0.49767405j]
 [ 0.00000000e+00+0.49767405j  8.67364135e-01+0.j        ]]",[1.3724055-9.e-05j 1.3695945-9.e-05j],"[[ 0.70710678-0.0000000e+00j  0.70710678+0.0000000e+00j]
 [ 0.70710678+0.0000000e+00j -0.70710678-5.3858446e-31j]]",0.0014055,(1.371-9e-05j),(1.371-9e-05j),0j
