,eigVal,eigVec,Coupling coeff.,Ecm,XC,Ecm-XC
65,[1.371-0.00316288j 1.371-0.00021712j],"[[ 9.79936196e-01+0.j         -6.82180007e-15-0.19931145j]
 [ 0.00000000e+00+0.19931145j  9.79936196e-01+0.j        ]]",0.000625,(1.371-9e-05j),(1.371-9e-05j),0j
66,[1.371-0.00316075j 1.371-0.00021925j],"[[ 9.79596235e-01+0.j         -4.55815941e-14-0.20097566j]
 [ 0.00000000e+00+0.20097566j  9.79596235e-01+0.j        ]]",0.00063,(1.371-9e-05j),(1.371-9e-05j),0j
67,[1.371-0.0031586j 1.371-0.0002214j],"[[9.79252947e-01+0.j         3.15537527e-14-0.20264172j]
 [0.00000000e+00+0.20264172j 9.79252947e-01+0.j        ]]",0.0006349999999999999,(1.371-9e-05j),(1.371-9e-05j),0j
68,[1.371-0.00315642j 1.371-0.00022358j],"[[ 9.78906313e-01+0.j         -6.87123969e-15-0.20430964j]
 [ 0.00000000e+00+0.20430964j  9.78906313e-01+0.j        ]]",0.0006399999999999999,(1.371-9e-05j),(1.371-9e-05j),0j
69,[1.371-0.00315423j 1.371-0.00022577j],"[[9.78556316e-01+0.j         1.56125113e-17-0.20597946j]
 [0.00000000e+00+0.20597946j 9.78556316e-01+0.j        ]]",0.000645,(1.371-9e-05j),(1.371-9e-05j),0j
70,[1.371-0.00315202j 1.371-0.00022798j],"[[ 9.78202936e-01+0.j         -1.95182412e-14-0.20765119j]
 [ 0.00000000e+00+0.20765119j  9.78202936e-01+0.j        ]]",0.00065,(1.371-9e-05j),(1.371-9e-05j),0j
71,[1.371-0.00314979j 1.371-0.00023021j],"[[9.77846157e-01+0.j         5.06816811e-14-0.20932485j]
 [0.00000000e+00+0.20932485j 9.77846157e-01+0.j        ]]",0.000655,(1.371-9e-05j),(1.371-9e-05j),0j
72,[1.371-0.00314753j 1.371-0.00023247j],"[[9.77485959e-01+0.j         4.00460914e-15-0.21100047j]
 [0.00000000e+00+0.21100047j 9.77485959e-01+0.j        ]]",0.00066,(1.371-9e-05j),(1.371-9e-05j),0j
73,[1.371-0.00314526j 1.371-0.00023474j],"[[ 9.77122323e-01+0.j         -4.43742265e-15-0.21267808j]
 [ 0.00000000e+00+0.21267808j  9.77122323e-01+0.j        ]]",0.000665,(1.371-9e-05j),(1.371-9e-05j),0j
74,[1.371-0.00314296j 1.371-0.00023704j],"[[9.76755230e-01+0.j        9.68669589e-15-0.2143577j]
 [0.00000000e+00+0.2143577j 9.76755230e-01+0.j       ]]",0.00067,(1.371-9e-05j),(1.371-9e-05j),0j
75,[1.371-0.00314065j 1.371-0.00023935j],"[[9.76384659e-01+0.j         2.09415818e-14-0.21603934j]
 [0.00000000e+00+0.21603934j 9.76384659e-01+0.j        ]]",0.000675,(1.371-9e-05j),(1.371-9e-05j),0j
76,[1.371-0.00313831j 1.371-0.00024169j],"[[ 9.76010592e-01+0.j         -3.32919456e-14-0.21772305j]
 [ 0.00000000e+00+0.21772305j  9.76010592e-01+0.j        ]]",0.00068,(1.371-9e-05j),(1.371-9e-05j),0j
77,[1.371-0.00313595j 1.371-0.00024405j],"[[9.75633007e-01+0.j         2.96151992e-14-0.21940883j]
 [0.00000000e+00+0.21940883j 9.75633007e-01+0.j        ]]",0.0006850000000000001,(1.371-9e-05j),(1.371-9e-05j),0j
78,[1.371-0.00313357j 1.371-0.00024643j],"[[9.75251884e-01+0.j         9.24347404e-15-0.22109673j]
 [0.00000000e+00+0.22109673j 9.75251884e-01+0.j        ]]",0.0006900000000000001,(1.371-9e-05j),(1.371-9e-05j),0j
79,[1.371-0.00313117j 1.371-0.00024883j],"[[9.74867202e-01+0.j         6.03406214e-14-0.22278675j]
 [0.00000000e+00+0.22278675j 9.74867202e-01+0.j        ]]",0.000695,(1.371-9e-05j),(1.371-9e-05j),0j
80,[1.371-0.00312875j 1.371-0.00025125j],"[[9.74478940e-01+0.j         5.48033841e-14-0.22447894j]
 [0.00000000e+00+0.22447894j 9.74478940e-01+0.j        ]]",0.0007,(1.371-9e-05j),(1.371-9e-05j),0j
81,[1.371-0.00312631j 1.371-0.00025369j],"[[9.74087077e-01+0.j         2.04003481e-15-0.22617331j]
 [0.00000000e+00+0.22617331j 9.74087077e-01+0.j        ]]",0.000705,(1.371-9e-05j),(1.371-9e-05j),0j
82,[1.371-0.00312384j 1.371-0.00025616j],"[[ 9.73691589e-01+0.j         -4.20635748e-14-0.22786989j]
 [ 0.00000000e+00+0.22786989j  9.73691589e-01+0.j        ]]",0.00071,(1.371-9e-05j),(1.371-9e-05j),0j
83,[1.371-0.00312135j 1.371-0.00025865j],"[[9.73292456e-01+0.j         1.15680035e-14-0.22956872j]
 [0.00000000e+00+0.22956872j 9.73292456e-01+0.j        ]]",0.000715,(1.371-9e-05j),(1.371-9e-05j),0j
84,[1.371-0.00311885j 1.371-0.00026115j],"[[ 9.72889653e-01+0.j        -5.22915045e-14-0.2312698j]
 [ 0.00000000e+00+0.2312698j  9.72889653e-01+0.j       ]]",0.0007199999999999999,(1.371-9e-05j),(1.371-9e-05j),0j
85,[1.371-0.00311632j 1.371-0.00026368j],"[[9.72483159e-01+0.j         3.48315127e-14-0.23297319j]
 [0.00000000e+00+0.23297319j 9.72483159e-01+0.j        ]]",0.000725,(1.371-9e-05j),(1.371-9e-05j),0j
86,[1.371-0.00311376j 1.371-0.00026624j],"[[9.72072949e-01+0.j         9.50628465e-15-0.23467889j]
 [0.00000000e+00+0.23467889j 9.72072949e-01+0.j        ]]",0.00073,(1.371-9e-05j),(1.371-9e-05j),0j
87,[1.371-0.00311119j 1.371-0.00026881j],"[[ 9.71659001e-01+0.j         -1.07578876e-14-0.23638694j]
 [ 0.00000000e+00+0.23638694j  9.71659001e-01+0.j        ]]",0.000735,(1.371-9e-05j),(1.371-9e-05j),0j
88,[1.371-0.00310859j 1.371-0.00027141j],"[[ 9.71241289e-01+0.j         -2.08444373e-14-0.23809737j]
 [ 0.00000000e+00+0.23809737j  9.71241289e-01+0.j        ]]",0.00074,(1.371-9e-05j),(1.371-9e-05j),0j
89,[1.371-0.00310597j 1.371-0.00027403j],"[[9.70819789e-01+0.j         8.34835673e-15-0.23981021j]
 [0.00000000e+00+0.23981021j 9.70819789e-01+0.j        ]]",0.000745,(1.371-9e-05j),(1.371-9e-05j),0j
90,[1.371-0.00310333j 1.371-0.00027667j],"[[9.70394476e-01+0.j         1.10189635e-14-0.24152549j]
 [0.00000000e+00+0.24152549j 9.70394476e-01+0.j        ]]",0.00075,(1.371-9e-05j),(1.371-9e-05j),0j
91,[1.371-0.00310066j 1.371-0.00027934j],"[[ 9.69965324e-01+0.j         -6.97913949e-14-0.24324323j]
 [ 0.00000000e+00+0.24324323j  9.69965324e-01+0.j        ]]",0.000755,(1.371-9e-05j),(1.371-9e-05j),0j
92,[1.371-0.00309798j 1.371-0.00028202j],"[[9.69532309e-01+0.j         2.20656826e-15-0.24496347j]
 [0.00000000e+00+0.24496347j 9.69532309e-01+0.j        ]]",0.00076,(1.371-9e-05j),(1.371-9e-05j),0j
93,[1.371-0.00309527j 1.371-0.00028473j],"[[ 9.69095403e-01+0.j         -1.06477327e-14-0.24668624j]
 [ 0.00000000e+00+0.24668624j  9.69095403e-01+0.j        ]]",0.0007650000000000001,(1.371-9e-05j),(1.371-9e-05j),0j
94,[1.371-0.00309253j 1.371-0.00028747j],"[[9.68654580e-01+0.j         2.34187669e-16-0.24841156j]
 [0.00000000e+00+0.24841156j 9.68654580e-01+0.j        ]]",0.0007700000000000001,(1.371-9e-05j),(1.371-9e-05j),0j
95,[1.371-0.00308978j 1.371-0.00029022j],"[[ 9.68209812e-01+0.j         -2.21957869e-14-0.25013948j]
 [ 0.00000000e+00+0.25013948j  9.68209812e-01+0.j        ]]",0.0007750000000000001,(1.371-9e-05j),(1.371-9e-05j),0j
96,[1.371-0.003087j 1.371-0.000293j],"[[9.67761072e-01+0.j         3.31262795e-14-0.25187002j]
 [0.00000000e+00+0.25187002j 9.67761072e-01+0.j        ]]",0.0007800000000000001,(1.371-9e-05j),(1.371-9e-05j),0j
97,[1.371-0.00308419j 1.371-0.00029581j],"[[9.67308333e-01+0.j         5.26072241e-14-0.25360321j]
 [0.00000000e+00+0.25360321j 9.67308333e-01+0.j        ]]",0.000785,(1.371-9e-05j),(1.371-9e-05j),0j
98,[1.371-0.00308137j 1.371-0.00029863j],"[[9.66851565e-01+0.j         4.21433721e-14-0.25533909j]
 [0.00000000e+00+0.25533909j 9.66851565e-01+0.j        ]]",0.0007900000000000001,(1.371-9e-05j),(1.371-9e-05j),0j
99,[1.371-0.00307852j 1.371-0.00030148j],"[[9.66390739e-01+0.j         3.82055498e-14-0.25707769j]
 [0.00000000e+00+0.25707769j 9.66390739e-01+0.j        ]]",0.0007949999999999999,(1.371-9e-05j),(1.371-9e-05j),0j
100,[1.371-0.00307564j 1.371-0.00030436j],"[[ 9.65925826e-01+0.j         -6.89448498e-14-0.25881905j]
 [ 0.00000000e+00+0.25881905j  9.65925826e-01+0.j        ]]",0.0007999999999999999,(1.371-9e-05j),(1.371-9e-05j),0j
101,[1.371-0.00307274j 1.371-0.00030726j],"[[9.65456796e-01+0.j         4.31876757e-14-0.26056319j]
 [0.00000000e+00+0.26056319j 9.65456796e-01+0.j        ]]",0.0008049999999999999,(1.371-9e-05j),(1.371-9e-05j),0j
