,eigVal_lossDiff_applied,eigVec_lossDiff_applied,eigVal_lossless,eigVec_lossless,Coupling coeff.,Ecm,XC,Ecm-XC
47,[1.371-0.00296244j 1.371-0.00041756j],"[[ 9.47437103e-01+0.j         -1.57374114e-14-0.31994208j]
 [ 0.00000000e+00+0.31994208j  9.47437103e-01+0.j        ]]",[1.37197-9.e-05j 1.37003-9.e-05j],"[[ 0.70710678-0.0000000e+00j -0.70710678-1.1307642e-30j]
 [ 0.70710678+0.0000000e+00j  0.70710678+0.0000000e+00j]]",0.00097,(1.371-9e-05j),(1.371-9e-05j),0j
48,[1.371-0.00295475j 1.371-0.00042525j],"[[9.46168745e-01+0.j         3.32511796e-14-0.32367377j]
 [0.00000000e+00+0.32367377j 9.46168745e-01+0.j        ]]",[1.37198-9.e-05j 1.37002-9.e-05j],"[[ 0.70710678-0.j  0.70710678+0.j]
 [ 0.70710678+0.j -0.70710678-0.j]]",0.00098,(1.371-9e-05j),(1.371-9e-05j),0j
49,[1.371-0.00294694j 1.371-0.00043306j],"[[ 9.44877758e-01+0.j         -4.15778523e-14-0.32742331j]
 [ 0.00000000e+00+0.32742331j  9.44877758e-01+0.j        ]]",[1.37199-9.e-05j 1.37001-9.e-05j],"[[ 0.70710678+0.00000000e+00j -0.70710678-9.67988268e-18j]
 [ 0.70710678-0.00000000e+00j  0.70710678+0.00000000e+00j]]",0.00099,(1.371-9e-05j),(1.371-9e-05j),0j
50,[1.371-0.002939j 1.371-0.000441j],"[[ 9.43563657e-01+0.j         -4.18554080e-14-0.33119122j]
 [ 0.00000000e+00+0.33119122j  9.43563657e-01+0.j        ]]",[1.372-9.e-05j 1.37 -9.e-05j],"[[ 0.70710678-0.00000000e+00j -0.70710678+1.91661677e-17j]
 [ 0.70710678+0.00000000e+00j  0.70710678+0.00000000e+00j]]",0.001,(1.371-9e-05j),(1.371-9e-05j),0j
51,[1.371-0.00293093j 1.371-0.00044907j],"[[ 9.42225934e-01+0.j         -5.90083538e-14-0.33497804j]
 [ 0.00000000e+00+0.33497804j  9.42225934e-01+0.j        ]]",[1.37201-9.e-05j 1.36999-9.e-05j],"[[ 0.70710678-0.00000000e+00j -0.70710678-9.48676901e-18j]
 [ 0.70710678+0.00000000e+00j  0.70710678+0.00000000e+00j]]",0.00101,(1.371-9e-05j),(1.371-9e-05j),0j
52,[1.371-0.00292272j 1.371-0.00045728j],"[[9.40864059e-01+0.j         6.23112673e-14-0.33878433j]
 [0.00000000e+00+0.33878433j 9.40864059e-01+0.j        ]]",[1.37202-9.e-05j 1.36998-9.e-05j],"[[ 0.70710678+0.j  0.70710678+0.j]
 [ 0.70710678-0.j -0.70710678-0.j]]",0.00102,(1.371-9e-05j),(1.371-9e-05j),0j
53,[1.371-0.00291438j 1.371-0.00046562j],"[[9.39477480e-01+0.j         2.98372438e-15-0.34261066j]
 [0.00000000e+00+0.34261066j 9.39477480e-01+0.j        ]]",[1.37203-9.e-05j 1.36997-9.e-05j],"[[ 0.70710678+0.j  0.70710678+0.j]
 [ 0.70710678-0.j -0.70710678-0.j]]",0.00103,(1.371-9e-05j),(1.371-9e-05j),0j
54,[1.371-0.00290589j 1.371-0.00047411j],"[[9.38065618e-01+0.j         4.09429435e-14-0.34645764j]
 [0.00000000e+00+0.34645764j 9.38065618e-01+0.j        ]]",[1.37204-9.e-05j 1.36996-9.e-05j],"[[ 0.70710678-0.00000000e+00j -0.70710678-1.47550301e-30j]
 [ 0.70710678+0.00000000e+00j  0.70710678+0.00000000e+00j]]",0.0010400000000000001,(1.371-9e-05j),(1.371-9e-05j),0j
55,[1.371-0.00289727j 1.371-0.00048273j],"[[ 9.36627869e-01+0.j        -9.18709553e-15-0.3503259j]
 [ 0.00000000e+00+0.3503259j  9.36627869e-01+0.j       ]]",[1.37205-9.e-05j 1.36995-9.e-05j],"[[ 0.70710678-0.j -0.70710678+0.j]
 [ 0.70710678+0.j  0.70710678+0.j]]",0.0010500000000000002,(1.371-9e-05j),(1.371-9e-05j),0j
56,[1.371-0.0028885j 1.371-0.0004915j],"[[ 9.35163599e-01+0.j        -5.15490428e-14-0.3542161j]
 [ 0.00000000e+00+0.3542161j  9.35163599e-01+0.j       ]]",[1.37206-9.e-05j 1.36994-9.e-05j],"[[ 0.70710678+0.00000000e+00j  0.70710678+0.00000000e+00j]
 [ 0.70710678-0.00000000e+00j -0.70710678-9.04064515e-18j]]",0.0010600000000000002,(1.371-9e-05j),(1.371-9e-05j),0j
57,[1.371-0.00287958j 1.371-0.00050042j],"[[9.33672145e-01+0.j         9.12742104e-14-0.35812892j]
 [0.00000000e+00+0.35812892j 9.33672145e-01+0.j        ]]",[1.37207-9.e-05j 1.36993-9.e-05j],"[[ 0.70710678-0.00000000e+00j -0.70710678-8.95615313e-18j]
 [ 0.70710678+0.00000000e+00j  0.70710678+0.00000000e+00j]]",0.0010700000000000002,(1.371-9e-05j),(1.371-9e-05j),0j
58,[1.371-0.00287051j 1.371-0.00050949j],"[[ 9.32152812e-01+0.j        -1.71251902e-14-0.3620651j]
 [ 0.00000000e+00+0.3620651j  9.32152812e-01+0.j       ]]",[1.37208-9.e-05j 1.36992-9.e-05j],"[[ 0.70710678-0.00000000e+00j  0.70710678+0.00000000e+00j]
 [ 0.70710678+0.00000000e+00j -0.70710678-8.86335276e-18j]]",0.00108,(1.371-9e-05j),(1.371-9e-05j),0j
59,[1.371-0.00286128j 1.371-0.00051872j],"[[9.30604869e-01+0.j         1.52725055e-14-0.36602538j]
 [0.00000000e+00+0.36602538j 9.30604869e-01+0.j        ]]",[1.37209-9.e-05j 1.36991-9.e-05j],"[[ 0.70710678+0.00000000e+00j  0.70710678+0.00000000e+00j]
 [ 0.70710678-0.00000000e+00j -0.70710678+1.75836401e-17j]]",0.00109,(1.371-9e-05j),(1.371-9e-05j),0j
60,[1.371-0.0028519j 1.371-0.0005281j],"[[ 9.29027550e-01+0.j         -6.99440506e-15-0.37001056j]
 [ 0.00000000e+00+0.37001056j  9.29027550e-01+0.j        ]]",[1.3721-9.e-05j 1.3699-9.e-05j],"[[ 0.70710678+0.j  0.70710678+0.j]
 [ 0.70710678-0.j -0.70710678+0.j]]",0.0011,(1.371-9e-05j),(1.371-9e-05j),0j
61,[1.371-0.00284235j 1.371-0.00053765j],"[[ 9.27420050e-01+0.j         -2.75439394e-14-0.37402146j]
 [ 0.00000000e+00+0.37402146j  9.27420050e-01+0.j        ]]",[1.37211-9.e-05j 1.36989-9.e-05j],"[[ 0.70710678-0.0000000e+00j -0.70710678+8.6329598e-18j]
 [ 0.70710678+0.0000000e+00j  0.70710678+0.0000000e+00j]]",0.00111,(1.371-9e-05j),(1.371-9e-05j),0j
